icd_code,root
T620X1A,T62
Y929,Y92
G35,G35
F1020,F10
F32A,F32
5724,K75
56723,K67
5723,K75
80702,S22
E8794,
30391,F10
53789,K31
2766,E87
E9288,
4659,J06
5121,J93
7873,R19
V4589,Z95
0388,A40
4829,J15
5110,R09
60001,N40
2768,E87
I120,I12
N186,N18
Q612,Q61
E8339,E83
25050,E11
36201,H35
41021,I21
1983,C79
1623,C33
78451,G44
72989,M79
2559,E24
78720,R19
7856,R00
K652,K65
E83119,E83
K7290,K72
I890,I89
I9589,I95
G9382,G93
R4020,R40
F1010,F10
I2109,I21
R34,R34
I081,I08
A4102,A41
I5021,I50
I330,I33
M86171,M86
E1152,E11
L97416,L97
M86671,M86
G834,G83
Z6841,Z68
E870,E87
E1169,E11
E11621,E11
M48061,M48
G2581,G25
E11610,E11
E1142,E11
Z89431,Z89
Z09,Z09
E876,E87
N141,N14
T368X5A,T36
Y92230,Y92
L89156,L89
L89150,L89
R339,R33
G928,G92
G919,G91
E273,E27
F1120,F11
M8458XA,M84
M1280,M12
H532,H53
G893,G89
G14,G14
F1421,F14
G629,G62
Z853,Z85
Z86000,Z86
I462,I46
S2243XA,S22
R7881,R78
I132,I13
I080,I08
M5489,M54
Z45018,Z45
Z992,Z99
R740,R74
S12600A,S12
S271XXA,S27
S066X0A,S06
S240XXA,S24
S22049A,S22
S22059A,S22
S22069A,S22
S32029A,S32
F10129,F10
V270XXA,V27
S8012XA,S80
E1010,E10
J1282,J12
K8590,K85
J80,J80
J810,J81
I63219,I63
G030,G03
M6282,M62
I248,I24
T383X6A,T38
Z91128,Z91
E861,E86
Z8711,Z87
M4856XA,M48
T81718A,T81
K7011,K70
R7303,R73
I724,I72
R32,R32
R64,R64
R1312,R13
I69351,I69
Z681,Z68
T18128A,T18
I69391,I69
I69322,I69
I7300,I73
I69398,I69
R2689,R26
N3941,N39
4239,I31
4779,J30
60000,N40
V1301,Z87
V1272,
T80211A,T80
A4181,A41
G9341,G93
T8242XA,T82
Z1622,Z16
E440,E44
D61818,D61
Y718,Y71
Z6823,Z68
K668,K66
K7040,K70
D539,D53
S066X9A,S06
S13120A,S13
S32019A,S32
S0450XA,S04
F19239,F19
T424X1A,T42
S061X9A,S06
R402112,R40
R402212,R40
S065X9A,S06
B953,B95
S020XXA,S02
S02842A,S02
S02832A,S02
S0240FA,S02
T796XXA,T79
R402352,R40
W1789XA,W17
Z5900,Z59
R451,R45
F1510,F15
R1310,R13
R0689,R06
N35919,N35
99661,T82
4210,I33
03811,A40
0414,B95
52100,K02
V433,
I2699,I26
J15212,J15
G40209,G40
E874,E87
K626,K62
K921,K92
D6859,D68
Y92129,Y92
B373,B37
R400,R40
F4311,F43
G40111,G40
K31811,K31
J9622,J96
D6832,D68
Z1619,Z16
M21371,M21
D72119,D72
Z6835,Z68
42831,I50
2883,D70
73390,M81
6989,L29
34590,G40
G40211,G40
J849,J84
N185,N18
M1A9XX0,M1A
E11649,E11
E8351,E83
D72111,D72
51882,J98
55321,K41
E8788,
I82890,I82
K8010,K80
K269,K26
Z7984,Z79
G250,G25
E8342,E83
E781,E78
Z6822,Z68
B957,B95
V1087,Z85
9092,T50
E8792,
2440,E89
3368,G95
2630,E44
73679,M21
78650,R06
3099,F43
V166,Z80
V160,Z80
I2119,I21
85202,S06
2903,F03
7866,R06
78932,R10
23875,D48
37230,H10
I472,I47
T83511A,T83
I313,I31
I5A,I5A
I4901,I49
B952,B95
I712,I71
G902,G90
I110,I11
I493,I49
Z87440,Z87
Z8616,Z86
I82622,I82
N319,N31
D472,D47
E042,E04
Z6829,Z68
M1000,M10
J398,J39
K5790,K57
K8020,K80
M19072,M19
E780,E78
I2729,I27
L0390,L03
J439,J43
E7849,E78
I952,I95
T501X5A,T50
R791,R79
L89151,L89
2127,D14
4556,K64
O98813,O98
O2303,O23
N136,N13
O26833,O26
Z3A34,Z3A
B964,B96
O09523,O09
N2889,N28
N858,N85
O628,O62
I63412,I63
I618,I61
J159,J15
G8191,G81
I429,I42
R4701,R47
R0681,R06
R29810,R29
B951,B95
M545,M54
H409,H40
Z6825,Z68
I2111,I21
I441,I44
K760,K76
T508X5A,T50
2860,D66
4267,I44
4275,I47
5856,N18
40391,I12
9961,T82
25043,E11
25063,E11
